,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_cbflag,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_facility,st_age,st_ageerr1,st_ageerr2,st_agelim,st_j,st_jerr,st_jlim,st_k,st_kerr,st_klim,pl_rade,TSM,good_TSM,ESM,webb approved,HST approved,chen_kipping,hst approved
3375,Kepler-738,b,Kepler-738 b,Transit,0,1,24.58721573,8.802e-05,-8.802e-05,0.0,,,,,,,,,,,,,,,,,,0.223,0.018000000000000002,-0.015,0.0,,,,,0,1,0,1,19h10m16.72s,287.569664,+46d34m04.3s,46.567859000000006,992.0,72.65,-70.33,0.0,1149.93,39.67,-39.67,0.0,15.597999999999999,,0.0,Kepler-band,15.591,,0.0,5327.0,66.34,-61.93,0.0,0.86,0.04,-0.05,0.0,0.82,0.06,-0.05,0.0,2016-05-10,0,,,,,Kepler,4.57,6.05,-2.92,,14.311,0.024,0.0,13.818,0.040999999999999995,0.0,2.4995880723692396,3.4594853924401274,False,,False,,,False
3376,Kepler-739,b,Kepler-739 b,Transit,0,1,12.53248465,2.295e-05,-2.295e-05,0.0,,,,,,,,,,,,,,,,,,0.29600000000000004,0.044000000000000004,-0.026000000000000002,0.0,,,,,0,1,0,1,19h20m16.32s,290.067985,+46d34m44.9s,46.57914,1128.0,146.14,-88.8,0.0,1426.57,53.05,-53.05,0.0,15.485,,0.0,Kepler-band,15.453,,0.0,5601.0,89.95,-87.84,0.0,0.93,0.05,-0.06,0.0,0.9,0.11,-0.07,0.0,2016-05-10,0,,,,,Kepler,4.27,5.11,-2.6,,14.265,0.028999999999999998,0.0,13.847000000000001,0.045,0.0,3.3178388763286772,5.860936886011439,False,,False,,,False
3377,Kepler-74,b,Kepler-74 b,Transit,0,1,7.340711,6e-06,-6e-06,0.0,0.0781,0.0007,-0.0007,0.0,0.0,,,0.0,87.46,0.07,-0.07,0.0,0.63,0.12,-0.12,0.0,Mass,0.96,0.02,-0.02,0.0,0.88,0.18,-0.18,0.0,0,1,0,1,19h32m22.21s,293.092525,+41d21m19.9s,41.355523,1218.33,30.24,-30.24,0.0,1218.33,30.24,-30.24,0.0,14.23,,0.0,V (Johnson),14.365,,0.0,6000.0,100.0,-100.0,0.0,1.18,0.04,-0.04,0.0,1.12,0.04,-0.04,0.0,2015-01-29,0,1078.0,19.0,-19.0,0.0,Kepler,0.8,0.9,-0.5,,13.306,0.024,0.0,12.958,0.033,0.0,10.760558517822735,,False,,False,,,False
3378,Kepler-740,b,Kepler-740 b,Transit,0,1,3.58410122,1.99e-06,-1.99e-06,0.0,,,,,,,,,,,,,,,,,,0.408,0.047,-0.024,0.0,,,,,0,1,0,1,19h05m55.74s,286.482254,+46d41m32.8s,46.692451,1262.0,143.42,-79.76,0.0,1504.07,72.25,-72.25,0.0,15.954,,0.0,Kepler-band,15.923,,0.0,5438.0,62.55,-80.55,0.0,0.91,0.04,-0.04,0.0,0.87,0.1,-0.05,0.0,2016-05-10,0,,,,,Kepler,4.79,6.59,-3.01,,14.613,0.031,0.0,14.177,0.064,0.0,4.573237370074662,10.59461008905926,False,,False,,,False
3379,Kepler-741,b,Kepler-741 b,Transit,0,1,7.03902374,1.488e-05,-1.488e-05,0.0,,,,,,,,,,,,,,,,,,0.265,0.09,-0.031,0.0,,,,,0,1,0,1,19h17m43.61s,289.43170299999997,+46d37m03.1s,46.617531,1530.0,517.38,-193.1,0.0,1745.79,81.6,-81.6,0.0,15.067,,0.0,Kepler-band,15.046,,0.0,6129.0,80.64,-111.81,0.0,1.16,0.13,-0.08,0.0,1.24,0.42,-0.15,0.0,2016-05-10,0,,,,,Kepler,3.16,1.06,-1.4,,13.99,0.027000000000000003,0.0,13.693,0.043,0.0,2.970362507523985,4.553813059207733,False,,False,,,False
3380,Kepler-742,b,Kepler-742 b,Transit,0,1,8.36086824,6.31e-06,-6.31e-06,0.0,,,,,,,,,,,,,,,,,,0.289,0.01,-0.015,0.0,,,,,0,1,0,1,18h55m27.84s,283.866019,+46d47m22.5s,46.789589,499.0,19.86,-21.07,0.0,496.18,6.38,-6.38,0.0,15.222999999999999,,0.0,Kepler-band,15.172,,0.0,4642.0,41.76,-44.03,0.0,0.76,0.03,-0.04,0.0,0.71,0.02,-0.03,0.0,2016-05-10,0,,,,,Kepler,2.57,5.58,-1.1,,13.495999999999999,0.023,0.0,12.817,0.032,0.0,3.2393764704695527,11.333853503508935,False,,False,,,False
3381,Kepler-743,b,Kepler-743 b,Transit,0,1,3.17926292,2.52e-06,-2.52e-06,0.0,,,,,,,,,,,,,,,,,,0.10800000000000001,0.003,-0.004,0.0,,,,,0,1,0,1,19h42m17.80s,295.57416800000004,+42d48m23.2s,42.806436,258.0,7.01,-7.17,0.0,281.23,2.09,-2.09,0.0,12.55,,0.0,Kepler-band,12.540999999999999,,0.0,5486.0,77.47,-78.82,0.0,0.94,0.03,-0.03,0.0,0.85,0.02,-0.02,0.0,2016-05-10,0,,,,,Kepler,1.86,1.15,-0.594,,11.234000000000002,0.021,0.0,10.777000000000001,0.012,0.0,1.210562833255058,1.6446193301144638,False,,False,,,False
3382,Kepler-744,b,Kepler-744 b,Transit,0,1,12.06222443,2.649e-05,-2.649e-05,0.0,,,,,,,,,,,,,,,,,,0.145,0.011000000000000001,-0.008,0.0,,,,,0,1,0,1,19h45m59.07s,296.496136,+47d10m58.3s,47.182865,486.0,34.28,-26.91,0.0,455.83,4.86,-4.86,0.0,13.581,,0.0,Kepler-band,13.584000000000001,,0.0,5594.0,84.04,-77.39,0.0,0.94,0.04,-0.04,0.0,0.93,0.06,-0.05,0.0,2016-05-10,0,,,,,Kepler,5.13,3.6,-2.91,,12.354000000000001,0.022000000000000002,0.0,11.931,0.018000000000000002,0.0,1.6252926927961424,5.287927269772447,False,,False,,,False
3383,Kepler-745,b,Kepler-745 b,Transit,0,1,9.93143556,5.945e-05,-5.945e-05,0.0,,,,,,,,,,,,,,,,,,0.193,0.052000000000000005,-0.02,0.0,,,,,0,1,0,1,19h25m59.86s,291.49942999999996,+37d03m33.4s,37.059283,1199.0,315.69,-128.59,0.0,1874.28,85.07,-85.07,0.0,15.214,,0.0,Kepler-band,15.163,,0.0,5849.0,106.52,-158.12,0.0,1.04,0.07,-0.07,0.0,1.04,0.28,-0.1,0.0,2016-05-10,0,,,,,Kepler,4.07,2.72,-2.3,,13.998,0.027000000000000003,0.0,13.620999999999999,0.048,0.0,2.1633206186872793,3.3364609411898134,False,,False,,,False
3384,Kepler-746,b,Kepler-746 b,Transit,0,1,3.48159251,1.115e-05,-1.115e-05,0.0,,,,,,,,,,,,,,,,,,0.099,0.012,-0.008,0.0,,,,,0,1,0,1,19h22m43.74s,290.682243,+37d21m18.4s,37.355117,450.0,50.64,-34.82,0.0,777.74,311.59,-311.59,0.0,13.615,,0.0,Kepler-band,13.610999999999999,,0.0,5418.0,87.09,-89.83,0.0,0.91,0.04,-0.03,0.0,0.93,0.1,-0.07,0.0,2016-05-10,0,,,,,Kepler,8.71,4.14,-5.82,,12.307,0.022000000000000002,0.0,11.815,0.02,0.0,1.1096825971504698,0.8883153294515397,False,,False,,,False
3385,Kepler-747,b,Kepler-747 b,Transit,0,1,35.61760587,5.345e-05,-5.345e-05,0.0,,,,,,,,,,,,,,,,,,0.47,0.026000000000000002,-0.025,0.0,,,,,0,1,0,1,19h13m39.96s,288.416503,+41d01m47.3s,41.029804,855.0,50.21,-51.03,0.0,3797.47,491.56,-491.56,0.0,15.703,,0.0,Kepler-band,15.724,,0.0,5096.0,70.39,-92.77,0.0,0.82,0.04,-0.05,0.0,0.78,0.04,-0.04,0.0,2016-05-10,0,,,,,Kepler,4.79,6.38,-2.91,,14.241,0.032,0.0,13.63,,-1.0,5.268190107684048,7.895705056725589,False,,False,,,False
